Id,GEOID,Geography,Calls_2012,Cases_2012,Est_2012,Calls_2013,Cases_2013,Est_2013,Calls_2014,Cases_2014,Est_2014,Calls_2015,Cases_2015,Est_2015,Calls_2016,Cases_2016,Est_2016
0500000US01107,1107,"Pickens County, Alabama",0,0,19359,1,0,19370,1,0,20332,1,0,20827,1,0,20324
0500000US01109,1109,"Pike County, Alabama",1,0,33113,1,0,33592,1,0,33020,1,0,33376,1,0,33286
0500000US01111,1111,"Randolph County, Alabama",0,0,22623,1,0,22629,1,0,22468,1,0,22703,1,0,22652
0500000US01113,1113,"Russell County, Alabama",1,0,57626,2,1,59240,2,0,59282,2,1,58858,2,1,58172
0500000US01115,1115,"St. Clair County, Alabama",2,0,85168,3,1,86225,3,1,86482,3,1,86986,3,1,88019
0500000US01117,1117,"Shelby County, Alabama",4,1,200789,7,2,203825,7,2,205990,8,2,208527,8,2,210622
0500000US01119,1119,"Sumter County, Alabama",0,0,13448,0,0,13409,0,0,13283,1,0,13244,1,0,13040
0500000US01121,1121,"Talladega County, Alabama",2,0,81941,3,1,81277,3,1,81216,3,1,80749,3,1,80103
0500000US01123,1123,"Tallapoosa County, Alabama",1,0,41144,1,0,41139,1,0,41027,2,0,40755,2,0,40727
0500000US01125,1125,"Tuscaloosa County, Alabama",4,1,198581,7,2,200681,7,2,202671,8,2,204321,8,2,206102
0500000US01127,1127,"Walker County, Alabama",1,0,66211,2,1,65934,2,1,65564,3,1,65291,3,1,64967
0500000US01129,1129,"Washington County, Alabama",0,0,17115,1,0,16881,1,0,16891,1,0,16901,1,0,16756
0500000US01131,1131,"Wilcox County, Alabama",0,0,11355,0,0,11194,0,0,11028,0,0,11030,0,0,10986
0500000US01133,1133,"Winston County, Alabama",1,0,24171,1,0,24150,1,0,24083,1,0,23854,1,0,23805
,,Alaska,19,7,731089,23,8,736879,18,4,736705,37,8,737709,82,10,741894
0500000US02013,2013,"Aleutians East Borough, Alaska",0,0,3285,0,0,3302,0,0,3296,0,0,3317,0,0,3296
0500000US02016,2016,"Aleutians West Census Area, Alaska",0,0,5688,0,0,5715,0,0,5780,0,0,5739,1,0,5647
0500000US02020,2020,"Anchorage Municipality, Alaska",8,3,298527,9,3,301143,7,2,300429,15,3,298312,33,4,298192
0500000US02050,2050,"Bethel Census Area, Alaska",0,0,17695,1,0,17865,0,0,17959,1,0,17940,2,0,17968
0500000US02060,2060,"Bristol Bay Borough, Alaska",0,0,983,0,0,954,0,0,942,0,0,892,0,0,898
0500000US02068,2068,"Denali Borough, Alaska",0,0,1913,0,0,1940,0,0,1907,0,0,1913,0,0,1953
0500000US02070,2070,"Dillingham Census Area, Alaska",0,0,4963,0,0,4994,0,0,4989,0,0,4999,1,0,4954
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",3,1,100330,3,1,100879,2,1,99295,5,1,99639,11,1,100605
0500000US02100,2100,"Haines Borough, Alaska",0,0,2572,0,0,2551,0,0,2537,0,0,2484,0,0,2496
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",0,0,2131,0,0,2128,0,0,2081,0,0,2118,0,0,2078
0500000US02110,2110,"Juneau City and Borough, Alaska",1,0,32434,1,0,32604,1,0,32511,2,0,32603,4,0,32468
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",1,1,56952,2,1,57059,1,0,57626,3,1,58044,6,1,58506
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",0,0,13711,0,0,13673,0,0,13758,1,0,13689,2,0,13746
0500000US02150,2150,"Kodiak Island Borough, Alaska",0,0,14051,0,0,14066,0,0,13953,1,0,13789,2,0,13732
0500000US02158,2158,"Kusilvak Census Area, Alaska",0,0,7792,0,0,7950,0,0,8063,0,0,8109,1,0,8049
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",0,0,1644,0,0,1654,0,0,1628,0,0,1567,0,0,1562
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",2,1,93791,3,1,95923,2,1,98196,5,1,101120,12,1,104365
0500000US02180,2180,"Nome Census Area, Alaska",0,0,9873,0,0,9897,0,0,9834,0,0,9875,1,0,9917
0500000US02185,2185,"North Slope Borough, Alaska",0,0,9662,0,0,9741,0,0,9708,0,0,9690,1,0,9606
0500000US02188,2188,"Northwest Arctic Borough, Alaska",0,0,7721,0,0,7714,0,0,7744,0,0,7764,1,0,7673
0500000US02195,2195,"Petersburg Borough, Alaska",0,0,3263,0,0,3245,0,0,3175,0,0,3149,0,0,3149
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",0,0,6375,0,0,6394,0,0,6393,0,0,6360,1,0,6347
0500000US02220,2220,"Sitka City and Borough, Alaska",0,0,9048,0,0,9001,0,0,8883,0,0,8844,1,0,8830
0500000US02230,2230,"Skagway Municipality, Alaska",0,0,990,0,0,1004,0,0,1031,0,0,1058,0,0,1088
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",0,0,7179,0,0,7001,0,0,6968,0,0,6826,1,0,6876
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",0,0,9729,0,0,9764,0,0,9453,0,0,9308,1,0,9355
0500000US02275,2275,"Wrangell City and Borough, Alaska",0,0,2402,0,0,2417,0,0,2376,0,0,2400,0,0,2411
0500000US02282,2282,"Yakutat City and Borough, Alaska",0,0,657,0,0,643,0,0,642,0,0,620,0,0,601
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",0,0,5728,0,0,5658,0,0,5548,0,0,5541,1,0,5526
,,Arizona,178,58,6549634,258,66,6624617,288,77,6719993,356,117,6817565,457,151,6931071
0500000US04001,4001,"Apache County, Arizona",2,1,72968,3,1,72021,3,1,72034,4,1,71594,5,2,73112
0500000US04003,4003,"Cochise County, Arizona",4,1,131843,5,1,129554,5,1,127321,7,2,126395,8,3,125770
0500000US04005,4005,"Coconino County, Arizona",4,1,135999,5,1,136641,6,2,137695,7,2,139076,9,3,140908
0500000US04007,4007,"Gila County, Arizona",1,0,53036,2,1,53039,2,1,53124,3,1,53138,4,1,53556
0500000US04009,4009,"Graham County, Arizona",1,0,36958,1,0,37401,2,0,38013,2,1,37673,2,1,37599
0500000US04011,4011,"Greenlee County, Arizona",0,0,8763,0,0,8905,0,0,9315,0,0,9525,1,0,9613
0500000US04012,4012,"La Paz County, Arizona",1,0,20365,1,0,20379,1,0,20313,1,0,20147,1,0,20317
0500000US04013,4013,"Maricopa County, Arizona",107,35,3942959,156,40,4011219,175,47,4083931,217,71,4161637,280,92,4242997
0500000US04015,4015,"Mohave County, Arizona",6,2,203126,8,2,202622,9,2,202985,11,4,204165,14,4,205249
0500000US04017,4017,"Navajo County, Arizona",3,1,107037,4,1,107443,5,1,108178,6,2,108363,7,2,110026
0500000US04019,4019,"Pima County, Arizona",27,9,992490,39,10,996634,43,11,1003157,53,17,1008205,67,22,1016206
0500000US04021,4021,"Pinal County, Arizona",10,3,382259,15,4,384978,17,5,396024,21,7,406220,28,9,418540
0500000US04023,4023,"Santa Cruz County, Arizona",1,0,47321,2,0,46903,2,1,46387,2,1,46137,3,1,45985
0500000US04025,4025,"Yavapai County, Arizona",6,2,212350,8,2,215027,9,3,218405,12,4,221584,15,5,225562
0500000US04027,4027,"Yuma County, Arizona",5,2,202160,8,2,201851,9,2,203111,11,3,203706,14,4,205631
,,Arkansas,70,17,2950685,170,26,2958663,102,21,2966912,109,35,2977853,137,45,2988248
0500000US05001,5001,"Arkansas County, Arkansas",0,0,18978,1,0,18777,1,0,18502,1,0,18373,1,0,18214
0500000US05003,5003,"Ashley County, Arkansas",1,0,21491,1,0,21234,1,0,20920,1,0,20810,1,0,20492
0500000US05005,5005,"Baxter County, Arkansas",1,0,41068,2,0,40962,1,0,40797,2,0,41070,2,1,41062
0500000US05007,5007,"Benton County, Arkansas",6,1,234243,14,2,238778,8,2,243991,9,3,250851,12,4,258291
0500000US05009,5009,"Boone County, Arkansas",1,0,37356,2,0,37412,1,0,37206,1,0,37229,2,1,37304
0500000US05011,5011,"Bradley County, Arkansas",0,0,11273,1,0,11133,0,0,11024,0,0,11053,1,0,10996
0500000US05013,5013,"Calhoun County, Arkansas",0,0,5306,0,0,5214,0,0,5175,0,0,5209,0,0,5144
0500000US05015,5015,"Carroll County, Arkansas",1,0,27574,2,0,27745,1,0,27742,1,0,27744,1,0,27646
0500000US05017,5017,"Chicot County, Arkansas",0,0,11473,1,0,11344,0,0,11196,0,0,10985,1,0,10945
0500000US05019,5019,"Clark County, Arkansas",1,0,22807,1,0,22650,1,0,22663,1,0,22642,1,0,22657
0500000US05021,5021,"Clay County, Arkansas",0,0,15568,1,0,15312,1,0,15143,1,0,15067,1,0,14920
0500000US05023,5023,"Cleburne County, Arkansas",1,0,25824,1,0,25710,1,0,25670,1,0,25469,1,0,25264
0500000US05025,5025,"Cleveland County, Arkansas",0,0,8615,0,0,8539,0,0,8410,0,0,8299,0,0,8241
0500000US05027,5027,"Columbia County, Arkansas",1,0,24429,1,0,24294,1,0,24078,1,0,24140,1,0,23901
0500000US05029,5029,"Conway County, Arkansas",1,0,21205,1,0,21145,1,0,21019,1,0,20994,1,0,20937
0500000US05031,5031,"Craighead County, Arkansas",2,1,99948,6,1,101654,4,1,102621,4,1,104362,5,2,105835
0500000US05033,5033,"Crawford County, Arkansas",1,0,61940,4,1,61696,2,0,61840,2,1,61894,3,1,62267
